OBNOXIOU,depressin,disgustin,arrogan,filth
COVENAN,cas,coupo,contrac,settlemen
DEFERENC,indifferenc,sympath,respec,flatter
ABROGAT,repea,destro,dela,dismis
INTREPI,ambitious,determine,talkative,fearles
GRANDEU,magnificence,admiratio,happines,aw
INCEPTIO,initiativ,beginnin,initia,origi
COLOSSA,famou,vigorou,energetic,enormou
PARADO,Paradis,questio,puzzl,challeng
0PROLIFERAT,progressio,prohibi,stipulat,reproduc
CENSUR,criticiz,blam,appreciat,abus
DILIGEN,industrious,indifferen,intelligent,energeti
CONTEMPLATIO,consideratio,meditatio,deliberatio,speculatio
ADULATIO,duration,argumen,flatter,institutio
QUIVE,quarre,quicke,wave,trembl
BEAUTIFU,handsome,allurin,appealing,attractiv
MOMENTOU,important,temporar,fleetin,monumenta
INFATUATIO,emotio,passio,imagination,compassio
CONSIGNE,delegat,representativ,nomine,messenge
TRAM,wandere,chea,travelle,pilgri
IRREVERENC,disrespec,cruelty,unkindness


AMICABL,poisonou,satisfyin,invalidit,friendl,heartenin


PRUDEN,skille,experience,cautiou,crimina
PANACE,flatte,prais,inactivit,cure-al
BENEVOLENC,ill-wil,morbidit,kindnes,visio
VINDICAT,ope,ventilat,justif,recommen
OCCUL,religiou,unnatura,supernatural,stron
MENAC,reques,praye,threa,curs
DELINEAT,expan,portra,explai,argu
ABROGAT,elop,gate-cras,abolis,destro
SUCCESSIV,rapi,victoriou,beneficent,consecutiv
RAVAG,destro,brea,demolis,abolis
SUPERSTITIOU,piou,traditiona,irrationa,sacre
MENTO,guid,geniu,stylis,philosophe
GARNIS,pain,ador,garne,banis
INFRUCTUOU,meaningless,unnecessar,redundant,fruitles
FIDELIT,affectio,allegianc,accurac,loyalt
GRUF,har,roug,toug,sturd
DOLEFU,mournfu,sobe,regretfu,cheerles
FATA,terribl,deadl,poisonous,wron
ELUD,allur,leav,deceiv,escap
PREMONITIO,insigh,uncertaint,forewarning,scop
DEROGATOR,injuriou,shatterin,destructive,disparagin
NOMADI,fightin,rar,strang,wanderin
RESTIV,reste,restles,limite,limitles
ERRONEOUSL,previously,effectivel,wrongl,evidentl
ESTRANGE,jealou,angr,separated,suspiciou
CAPITULAT,repea,execut,summarize,surrende
PROPITIAT,confor,appeas,influenc,approac
CEREMONIA,religiou,forma,officia,pompou
OBSESSIO,pre-occupatio,suspicio,frustratio,dejectio
DILAT,spi,weake,wide,pus
DUPLICATIO,bree,reproductio,prin,copyin
PRIORIT,urgenc,protoco,precedence,necessit
FLUTTE,soa,agitat,chang,floa
COMMAN,lea,instruc,manag,supervis
GNOM,gian,dwar,nativ,alie
ABLUTIO,censur,forgivenes,absolution,washin
SURMOUN,discoun,surroun,overcom,captur
TORPI,insipi,stupi,sensitiv,inactiv
SELECTIO,denia,preferenc,refusa,displa
OSTENTATIO,pom,pretenc,abundance,plent
CONVIC,adventurer,fugitiv,crimina,imposto
ITINERAN,frequent use of the wordâ€˜it,any thing involving repetitio,plan for aproposed journe,travelling from place to place
TRANSPAREN,verbos,involve,witt,luci
ENLIVE,dampe,chee,depres,subdu
HAUGHT,humbl,subservien,mee,conceite
DEMENTE,reasonable,sensibl,idioti,luci
ILL-BRE,uncout,well-bre,courteous,mannerl
KNAC,dexterit,awkwardnes,clumsiness,disabilit
LACONI,loquacious,concis,ramblin,verbos
KNAVIS,honourable,nobl,trustworthy,unscrupulou
ASSERTIV,unassertive,timorou,domineering,unobtrusiv
OBSTINAT,stubbor,prett,sill,cleve
ALER,hostil,watchfu,brav,quic
ACCED,consen,aces,asses,procee
SUPERANNUATE,experienced,accepte,retire,senil
AUDACIT,strengt,boldnes,asperit,fea
DECREPITUD,diseas,coolnes,crow,feeblenes
TRANSITIO,positio,translatio,chang,movemen
ACCUSE,indicate,indicte,induce,instigate
BECKONE,accuse,calle,sen,acquitte
GENUIN,generou,health,natura,origina
SOMBR,gloom,quie,seriou,sleep
REGRES,deteriorate,Degenerat,backslid,laps
TOXI,bitte,foul-smellin,remedia,poisonou
YARDSTIC,summation,siz,statistic,standar
LITTL,trivia,pett,sampl,simpl
AVARIC,generosit,env,gree,hatre
AUGUS,majesti,importan,difficul,hug
DECIMATE,denounce,successfu,destroye,depresse
HURDL,obstacl,ba,hedg,rela
RAR,commo,usua,scarc,fe
APPOSIT,contrar,bitte,appropriate,misleadin
SCOR,ridicul,laug,condem,criticiz
IMPIOU,hol,mischievou,shrew,irreveren
FREELANC,self-betrayed,self-centre,self-employed,self-drive
OBSTINATE,stubborn,pretty,silly,clever
ALERT,hostile,watchful,brave,quick
ACCEDE,consent,acess,assess,proceed
SUPERANNUATED,experienced,accepted,retired,senile
AUDACITY,strength,boldness,asperity,fear
DECREPITUDE,disease,coolness,crowd,feebleness
TRANSITION,position,translation,change,movement
ACCUSED,indicated,indicted,induced,instigated
BECKONED,accused,called,sent,acquitted
GENUINE,generous,healthy,natural,original
SOMBRE,gloomy,quiet,serious,sleepy
REGRESS,deteriorate,Degenerate,backslide,lapse
TOXIC,bitter,foul-smelling,remedia,poisonous
YARDSTICK,summation,size,statistics,standard
LITTLE,trivial,petty,sample,simple


AVARICE,generosity,envy,greed,hatred
AUGUST,majestic,important,difficult,huge
DECIMATED,denounced,successful,destroyed,depressed
HURDLE,obstacle,ban,hedge,relay
RARE,common,usual,scarce,few
APPOSITE,contrary,bitter,appropriate,misleading
SCORN,ridicule,laugh,condemn,criticize
IMPIOUS,holy,mischievous,shrewd,irreverent
FREELANCE,self-betrayed,self-centred,self-employed,self-driven
